dateISO,exerciseId,totalWeight,weightPerHand,S1_reps,S1_rir,S2_reps,S2_rir,S3_reps,S3_rir,S4_reps,S4_rir
2025-09-03T19:23:09.466Z,lat_pulldown,140,,6,2,8,3,3,0,9,1
2025-09-03T22:01:17.591Z,incline_bench,155,77.5,6,1,7,2,7,1,7,1
